Epoch 179, Loss G: -1.1161,Loss D:  0.3229
Epoch 180, Loss G: -1.4331,Loss D:  0.4382
Epoch 181, Loss G: -1.4057,Loss D:  0.5019
Epoch 182, Loss G: -1.3431,Loss D:  0.5779
Epoch 183, Loss G: -1.2947,Loss D:  0.1558
Epoch 184, Loss G: -0.9868,Loss D:  0.0779
Epoch 185, Loss G: -0.5442,Loss D:  0.0280
Epoch 186, Loss G: -0.5235,Loss D: -0.4998
Epoch 187, Loss G: -0.2173,Loss D: -0.3696
Epoch 188, Loss G: -0.0409,Loss D: -0.5091
Epoch 189, Loss G: -0.1208,Loss D: -0.5447
Epoch 190, Loss G:  0.0284,Loss D: -0.5285
Epoch 191, Loss G: -0.1968,Loss D:  0.1224
Epoch 192, Loss G: -0.4117,Loss D:  0.0894
Epoch 193, Loss G: -0.5311,Loss D:  0.1426
Epoch 194, Loss G: -0.6334,Loss D:  0.3756
Epoch 195, Loss G: -1.1448,Loss D:  0.7585
Epoch 196, Loss G: -1.1601,Loss D:  0.6035
Epoch 197, Loss G: -0.8182,Loss D:  0.2635
Epoch 198, Loss G: -0.9812,Loss D:  0.4072
Epoch 199, Loss G: -0.9239,Loss D:  0.2337
Epoch 200, Loss G: -0.8473,Loss D:  0.0989
Epoch 201, Loss G: -0.9848,Loss D: -0.0089
Epoch 202, Loss G: -0.9133,Loss D:  0.0649
Epoch 203, Loss G: -1.1260,Loss D: -0.1152
Epoch 204, Loss G: -1.1520,Loss D: -0.0705
Epoch 205, Loss G: -1.2964,Loss D:  0.0856
Epoch 206, Loss G: -1.3484,Loss D:  0.1953
Epoch 207, Loss G: -1.4233,Loss D:  0.0491
Epoch 208, Loss G: -1.3434,Loss D:  0.3225
Epoch 209, Loss G: -1.4433,Loss D:  0.0325
Epoch 210, Loss G: -1.4521,Loss D:  0.1802
Epoch 211, Loss G: -1.2956,Loss D:  0.1028
Epoch 212, Loss G: -1.6320,Loss D:  0.0997
Epoch 213, Loss G: -1.4291,Loss D:  0.0156
Epoch 214, Loss G: -1.7231,Loss D: -0.2027
Epoch 215, Loss G: -1.5983,Loss D:  0.0380
Epoch 216, Loss G: -1.7712,Loss D: -0.0542
Epoch 217, Loss G: -1.9288,Loss D:  0.2532
Epoch 218, Loss G: -1.8797,Loss D:  0.2138
Epoch 219, Loss G: -1.6591,Loss D:  0.0665
Epoch 220, Loss G: -1.9230,Loss D: -0.0300
Epoch 221, Loss G: -2.1907,Loss D: -0.2566
Epoch 222, Loss G: -2.1906,Loss D:  0.0087
Epoch 223, Loss G: -2.2186,Loss D:  0.0225
Epoch 224, Loss G: -2.1351,Loss D:  0.1364
Epoch 225, Loss G: -2.0055,Loss D:  0.2945
Epoch 226, Loss G: -2.3255,Loss D:  0.1281
Epoch 227, Loss G: -2.2964,Loss D:  0.0181
Epoch 228, Loss G: -2.2198,Loss D: -0.0612
Epoch 229, Loss G: -2.3955,Loss D:  0.0956
Epoch 230, Loss G: -2.4403,Loss D:  0.3656
Epoch 231, Loss G: -2.2938,Loss D:  0.0692
Epoch 232, Loss G: -2.2892,Loss D:  0.2792
Epoch 233, Loss G: -2.7007,Loss D: -0.0392
Epoch 234, Loss G: -2.2174,Loss D:  0.3758
Epoch 235, Loss G: -2.5080,Loss D:  0.3931
Epoch 236, Loss G: -2.0568,Loss D: -0.0510
Epoch 237, Loss G: -2.4180,Loss D:  0.1306
Epoch 238, Loss G: -2.2646,Loss D: -0.0176
Epoch 239, Loss G: -2.0380,Loss D: -0.0053
Epoch 240, Loss G: -2.2418,Loss D:  0.1030
Epoch 241, Loss G: -2.0593,Loss D: -0.0387
Epoch 242, Loss G: -2.0804,Loss D: -0.0002
Epoch 243, Loss G: -2.2589,Loss D:  0.2511
Epoch 244, Loss G: -1.9551,Loss D: -0.1014
Epoch 245, Loss G: -2.0587,Loss D:  0.3179
Epoch 246, Loss G: -2.2377,Loss D:  0.3753
Epoch 247, Loss G: -2.1321,Loss D:  0.3699
Epoch 248, Loss G: -2.3712,Loss D:  0.2712
Epoch 249, Loss G: -2.0457,Loss D:  0.1024
Epoch 250, Loss G: -2.0952,Loss D: -0.0209
Epoch 251, Loss G: -1.8187,Loss D: -0.0312
Epoch 252, Loss G: -1.9157,Loss D: -0.1715
Epoch 253, Loss G: -1.9330,Loss D: -0.3417
Epoch 254, Loss G: -1.7867,Loss D: -0.0592
Epoch 255, Loss G: -2.0779,Loss D:  0.0231
Epoch 256, Loss G: -2.0090,Loss D:  0.3388
Epoch 257, Loss G: -1.9994,Loss D: -0.0163
Epoch 258, Loss G: -2.2751,Loss D: -0.1672
Epoch 259, Loss G: -2.0138,Loss D:  0.1934
Epoch 260, Loss G: -2.2913,Loss D:  0.2711
Epoch 261, Loss G: -2.5237,Loss D:  0.0564
Epoch 262, Loss G: -2.0878,Loss D:  0.1368
Epoch 263, Loss G: -2.3082,Loss D:  0.2957
Epoch 264, Loss G: -2.1441,Loss D:  0.4343
Epoch 265, Loss G: -2.2395,Loss D: -0.0171
Epoch 266, Loss G: -2.3415,Loss D:  0.2820
Epoch 267, Loss G: -2.1244,Loss D:  0.1009
Epoch 268, Loss G: -2.2605,Loss D: -0.1289
Epoch 269, Loss G: -2.3185,Loss D:  0.0481
Epoch 270, Loss G: -2.3377,Loss D:  0.1422
Epoch 271, Loss G: -2.4035,Loss D:  0.1152
Epoch 272, Loss G: -2.6760,Loss D:  0.2051
Epoch 273, Loss G: -2.5401,Loss D:  0.1105
Epoch 274, Loss G: -2.5321,Loss D:  0.0957
