Epoch 150, Loss G: -0.5838,Loss D:  0.0799
Epoch 151, Loss G: -0.8373,Loss D:  0.4102
Epoch 152, Loss G: -0.7074,Loss D: -0.0797
Epoch 153, Loss G: -0.7946,Loss D:  0.1301
Epoch 154, Loss G: -1.0189,Loss D: -0.0573
Epoch 155, Loss G: -0.8838,Loss D:  0.1908
Epoch 156, Loss G: -0.9364,Loss D:  0.3016
Epoch 157, Loss G: -1.1538,Loss D:  0.0221
Epoch 158, Loss G: -0.9520,Loss D:  0.0715
Epoch 159, Loss G: -1.1107,Loss D:  0.2282
Epoch 160, Loss G: -1.2120,Loss D:  0.0996
Epoch 161, Loss G: -0.9935,Loss D:  0.1558
Epoch 162, Loss G: -0.9852,Loss D:  0.5347
Epoch 163, Loss G: -0.9346,Loss D:  0.1484
Epoch 164, Loss G: -1.1138,Loss D:  0.2289
Epoch 165, Loss G: -1.0757,Loss D: -0.2424
Epoch 166, Loss G: -0.9782,Loss D: -0.1827
Epoch 167, Loss G: -1.0526,Loss D: -0.2265
Epoch 168, Loss G: -1.0206,Loss D:  0.0749
Epoch 169, Loss G: -0.9280,Loss D: -0.1766
Epoch 170, Loss G: -0.8263,Loss D: -0.1705
Epoch 171, Loss G: -1.0279,Loss D:  0.1348
Epoch 172, Loss G: -1.0001,Loss D:  0.0764
Epoch 173, Loss G: -0.8325,Loss D: -0.1601
Epoch 174, Loss G: -1.0548,Loss D:  0.3575
Epoch 175, Loss G: -1.2462,Loss D:  0.0586
Epoch 176, Loss G: -1.0712,Loss D: -0.0488
Epoch 177, Loss G: -1.3177,Loss D:  0.2601
Epoch 178, Loss G: -1.5286,Loss D:  0.1842
Epoch 179, Loss G: -1.1925,Loss D: -0.0005
Epoch 180, Loss G: -1.3893,Loss D: -0.0986
Epoch 181, Loss G: -1.4313,Loss D: -0.0063
Epoch 182, Loss G: -1.2935,Loss D:  0.0194
Epoch 183, Loss G: -1.4179,Loss D: -0.1316
Epoch 184, Loss G: -1.4635,Loss D: -0.0587
Epoch 185, Loss G: -1.4723,Loss D: -0.4242
Epoch 186, Loss G: -1.7566,Loss D: -0.0388
Epoch 187, Loss G: -1.8206,Loss D: -0.1580
Epoch 188, Loss G: -1.7018,Loss D: -0.3534
Epoch 189, Loss G: -1.7719,Loss D:  0.0240
Epoch 190, Loss G: -2.1003,Loss D: -0.1569
Epoch 191, Loss G: -1.9704,Loss D:  0.1712
Epoch 192, Loss G: -2.2840,Loss D:  0.2569
Epoch 193, Loss G: -2.0824,Loss D:  0.4557
Epoch 194, Loss G: -2.0803,Loss D:  0.2281
Epoch 195, Loss G: -2.3182,Loss D:  0.0072
Epoch 196, Loss G: -2.1007,Loss D: -0.0696
Epoch 197, Loss G: -2.3668,Loss D:  0.4428
Epoch 198, Loss G: -2.1446,Loss D:  0.0846
Epoch 199, Loss G: -2.0787,Loss D:  0.4301
Epoch 200, Loss G: -1.9002,Loss D:  0.2905
Epoch 201, Loss G: -2.1167,Loss D: -0.1201
Epoch 202, Loss G: -1.7495,Loss D:  0.3947
Epoch 203, Loss G: -2.0143,Loss D:  0.2970
Epoch 204, Loss G: -2.2662,Loss D:  0.2797
Epoch 205, Loss G: -2.0129,Loss D:  0.1617
Epoch 206, Loss G: -1.9827,Loss D:  0.2600
Epoch 207, Loss G: -1.9982,Loss D:  0.2003
Epoch 208, Loss G: -2.0428,Loss D:  0.4508
Epoch 209, Loss G: -2.1386,Loss D:  0.3610
Epoch 210, Loss G: -2.2750,Loss D:  0.1579
Epoch 211, Loss G: -2.1429,Loss D: -0.1457
Epoch 212, Loss G: -2.5467,Loss D:  0.2234
Epoch 213, Loss G: -2.2785,Loss D:  0.3476
Epoch 214, Loss G: -2.4728,Loss D:  0.2626
Epoch 215, Loss G: -2.5812,Loss D:  0.1418
Epoch 216, Loss G: -2.4885,Loss D:  0.3527
Epoch 217, Loss G: -2.4270,Loss D:  0.6210
Epoch 218, Loss G: -2.4600,Loss D:  0.1708
Epoch 219, Loss G: -2.5030,Loss D:  0.1203
Epoch 220, Loss G: -2.4490,Loss D:  0.0928
Epoch 221, Loss G: -2.5375,Loss D:  0.1768
Epoch 222, Loss G: -2.5898,Loss D:  0.0595
Epoch 223, Loss G: -2.5756,Loss D:  0.3252
Epoch 224, Loss G: -2.6312,Loss D:  0.0003
Epoch 225, Loss G: -2.5246,Loss D:  0.1970
Epoch 226, Loss G: -2.6414,Loss D:  0.1371
Epoch 227, Loss G: -2.5950,Loss D: -0.1768
Epoch 228, Loss G: -2.7379,Loss D: -0.1356
Epoch 229, Loss G: -2.6487,Loss D: -0.0991
Epoch 230, Loss G: -2.6363,Loss D: -0.0685
Epoch 231, Loss G: -2.6641,Loss D: -0.2545
Epoch 232, Loss G: -2.7081,Loss D: -0.1904
Epoch 233, Loss G: -3.0985,Loss D:  0.0622
Epoch 234, Loss G: -2.8152,Loss D:  0.2888
Epoch 235, Loss G: -2.7748,Loss D:  0.0632
Epoch 236, Loss G: -2.7797,Loss D: -0.0787
Epoch 237, Loss G: -2.8505,Loss D: -0.0179
Epoch 238, Loss G: -3.0107,Loss D:  0.3442
Epoch 239, Loss G: -2.8842,Loss D:  0.0746
Epoch 240, Loss G: -3.1468,Loss D: -0.0332
Epoch 241, Loss G: -3.1358,Loss D:  0.0045
Epoch 242, Loss G: -3.1914,Loss D:  0.0921
Epoch 243, Loss G: -3.0672,Loss D: -0.0746
Epoch 244, Loss G: -3.0305,Loss D:  0.3651
Epoch 245, Loss G: -3.2025,Loss D: -0.1424
Epoch 246, Loss G: -3.0488,Loss D: -0.0346
Epoch 247, Loss G: -3.0327,Loss D:  0.1773
Epoch 248, Loss G: -2.9597,Loss D: -0.0959
Epoch 249, Loss G: -3.2707,Loss D:  0.1635
Epoch 250, Loss G: -3.2511,Loss D: -0.0294
Epoch 251, Loss G: -3.4126,Loss D:  0.0562
Epoch 252, Loss G: -3.3732,Loss D:  0.1770
Epoch 253, Loss G: -3.2444,Loss D:  0.3621
Epoch 254, Loss G: -3.3757,Loss D:  0.4861
Epoch 255, Loss G: -3.4052,Loss D:  0.1949
Epoch 256, Loss G: -3.2967,Loss D:  0.3695
Epoch 257, Loss G: -3.3993,Loss D:  0.5700
Epoch 258, Loss G: -3.6721,Loss D:  0.3060
Epoch 259, Loss G: -3.5648,Loss D:  0.1730
Epoch 260, Loss G: -3.6034,Loss D:  0.0403
Epoch 261, Loss G: -3.5627,Loss D:  0.1259
Epoch 262, Loss G: -3.3697,Loss D:  0.2784
Epoch 263, Loss G: -3.3723,Loss D:  0.1061
Epoch 264, Loss G: -3.6384,Loss D:  0.1633
