Epoch 224, Loss G: -1.4636,Loss D: -0.3638
Epoch 225, Loss G: -1.4777,Loss D: -0.2318
Epoch 226, Loss G: -1.6682,Loss D: -0.5174
Epoch 227, Loss G: -1.5326,Loss D: -0.6697
Epoch 228, Loss G: -2.2719,Loss D: -0.6550
Epoch 229, Loss G: -1.9086,Loss D: -0.3928
Epoch 230, Loss G: -1.9488,Loss D: -0.4329
Epoch 231, Loss G: -2.4508,Loss D: -0.4174
Epoch 232, Loss G: -2.7626,Loss D: -0.1634
Epoch 233, Loss G: -2.9899,Loss D:  0.0390
Epoch 234, Loss G: -3.3869,Loss D: -0.4955
Epoch 235, Loss G: -3.0812,Loss D: -0.1362
Epoch 236, Loss G: -3.2935,Loss D:  0.0760
Epoch 237, Loss G: -3.5640,Loss D:  0.0562
Epoch 238, Loss G: -3.7019,Loss D: -0.0299
Epoch 239, Loss G: -3.5703,Loss D:  0.5516
Epoch 240, Loss G: -3.5038,Loss D:  0.0258
Epoch 241, Loss G: -3.5286,Loss D: -0.4419
Epoch 242, Loss G: -3.7995,Loss D: -0.7736
Epoch 243, Loss G: -3.3235,Loss D: -0.0292
Epoch 244, Loss G: -3.4677,Loss D: -0.2991
Epoch 245, Loss G: -3.4132,Loss D: -0.1251
Epoch 246, Loss G: -3.6232,Loss D: -0.2801
Epoch 247, Loss G: -3.1509,Loss D: -0.3666
Epoch 248, Loss G: -3.4632,Loss D: -0.4707
Epoch 249, Loss G: -3.3073,Loss D: -0.2926
Epoch 250, Loss G: -3.3886,Loss D:  0.1768
Epoch 251, Loss G: -3.4788,Loss D:  0.4149
Epoch 252, Loss G: -3.3824,Loss D:  0.9794
Epoch 253, Loss G: -3.3141,Loss D:  0.0680
Epoch 254, Loss G: -3.3604,Loss D:  0.5497
Epoch 255, Loss G: -3.3280,Loss D:  0.2316
Epoch 256, Loss G: -3.1559,Loss D:  0.3161
Epoch 257, Loss G: -2.5050,Loss D: -0.0897
Epoch 258, Loss G: -2.4757,Loss D: -0.1964
Epoch 259, Loss G: -2.3198,Loss D: -0.5148
Epoch 260, Loss G: -1.9539,Loss D: -0.7474
Epoch 261, Loss G: -2.0294,Loss D: -1.2338
Epoch 262, Loss G: -2.0736,Loss D: -0.4651
Epoch 263, Loss G: -2.4504,Loss D: -0.6776
Epoch 264, Loss G: -2.2398,Loss D: -0.8696
Epoch 265, Loss G: -2.6578,Loss D: -0.0777
Epoch 266, Loss G: -3.0348,Loss D:  0.0851
Epoch 267, Loss G: -3.4264,Loss D: -0.0538
Epoch 268, Loss G: -3.6857,Loss D:  0.6919
Epoch 269, Loss G: -3.6681,Loss D:  0.4978
Epoch 270, Loss G: -3.8281,Loss D:  0.7662
Epoch 271, Loss G: -4.3688,Loss D:  0.0834
Epoch 272, Loss G: -4.5025,Loss D:  0.4669
Epoch 273, Loss G: -4.5417,Loss D:  0.1685
Epoch 274, Loss G: -4.6087,Loss D:  0.7597
Epoch 275, Loss G: -4.7558,Loss D:  0.7425
Epoch 276, Loss G: -4.9303,Loss D:  0.3977
Epoch 277, Loss G: -4.4740,Loss D:  0.2321
Epoch 278, Loss G: -4.0801,Loss D: -0.6359
Epoch 279, Loss G: -4.2923,Loss D: -0.3458
Epoch 280, Loss G: -3.9689,Loss D: -0.7199
Epoch 281, Loss G: -3.9642,Loss D: -0.5423
Epoch 282, Loss G: -3.7458,Loss D: -0.2181
Epoch 283, Loss G: -3.7468,Loss D: -0.5310
Epoch 284, Loss G: -3.7690,Loss D: -0.4397
Epoch 285, Loss G: -3.9805,Loss D: -0.0409
Epoch 286, Loss G: -3.6897,Loss D: -0.1732
Epoch 287, Loss G: -4.4438,Loss D:  0.3636
Epoch 288, Loss G: -4.0147,Loss D: -0.5102
Epoch 289, Loss G: -4.2984,Loss D:  0.0550
Epoch 290, Loss G: -4.7042,Loss D: -0.1377
Epoch 291, Loss G: -4.2311,Loss D:  0.2495
Epoch 292, Loss G: -4.1107,Loss D: -0.0388
Epoch 293, Loss G: -4.0628,Loss D:  0.1068
Epoch 294, Loss G: -3.6137,Loss D: -0.2167
Epoch 295, Loss G: -3.5662,Loss D: -0.7760
Epoch 296, Loss G: -3.2521,Loss D:  0.0850
Epoch 297, Loss G: -3.1078,Loss D: -0.1319
Epoch 298, Loss G: -2.7512,Loss D: -0.1675
Epoch 299, Loss G: -2.8190,Loss D: -0.4423
Epoch 300, Loss G: -3.2473,Loss D: -0.3080
Epoch 301, Loss G: -3.5790,Loss D: -0.1738
Epoch 302, Loss G: -4.0294,Loss D:  0.1828
Epoch 303, Loss G: -4.5536,Loss D:  0.4810
Epoch 304, Loss G: -4.6149,Loss D:  0.1995
Epoch 305, Loss G: -4.6697,Loss D:  0.5051
Epoch 306, Loss G: -4.7014,Loss D:  0.3205
Epoch 307, Loss G: -4.6905,Loss D:  0.4349
Epoch 308, Loss G: -4.9509,Loss D:  0.3009
Epoch 309, Loss G: -4.9208,Loss D:  0.2670
Epoch 310, Loss G: -4.5179,Loss D:  0.0343
Epoch 311, Loss G: -4.4034,Loss D: -0.6058
Epoch 312, Loss G: -4.2910,Loss D: -0.1439
Epoch 313, Loss G: -4.3495,Loss D: -0.6801
Epoch 314, Loss G: -4.5608,Loss D: -0.5646
Epoch 315, Loss G: -4.9588,Loss D: -0.6960
Epoch 316, Loss G: -4.8244,Loss D: -0.5789
Epoch 317, Loss G: -4.8027,Loss D: -0.2199
Epoch 318, Loss G: -4.7324,Loss D:  0.1446
Epoch 319, Loss G: -4.9140,Loss D: -0.3569
Epoch 320, Loss G: -5.1308,Loss D: -0.0119
Epoch 321, Loss G: -5.0885,Loss D:  0.3894
Epoch 322, Loss G: -5.4116,Loss D: -0.4978
Epoch 323, Loss G: -5.0775,Loss D:  0.2473
Epoch 324, Loss G: -5.1235,Loss D:  0.4824
Epoch 325, Loss G: -4.9377,Loss D: -0.0967
Epoch 326, Loss G: -5.1573,Loss D: -0.1819
Epoch 327, Loss G: -4.8732,Loss D:  0.8067
Epoch 328, Loss G: -5.1448,Loss D: -0.0073
Epoch 329, Loss G: -4.6505,Loss D:  0.2197
Epoch 330, Loss G: -4.5081,Loss D:  0.6594
Epoch 331, Loss G: -4.9078,Loss D:  0.6392
Epoch 332, Loss G: -4.7515,Loss D:  0.7253
Epoch 333, Loss G: -5.1816,Loss D:  0.3100
Epoch 334, Loss G: -4.2962,Loss D: -0.0244
Epoch 335, Loss G: -4.3589,Loss D: -0.0905
Epoch 336, Loss G: -4.2549,Loss D: -0.0145
Epoch 337, Loss G: -4.0143,Loss D: -0.4667
Epoch 338, Loss G: -4.0827,Loss D: -0.3209
Epoch 339, Loss G: -3.8650,Loss D: -0.2299
Epoch 340, Loss G: -3.8648,Loss D: -0.4956
Epoch 341, Loss G: -3.3057,Loss D: -0.5802
Epoch 342, Loss G: -3.3919,Loss D: -0.0951
Epoch 343, Loss G: -3.2823,Loss D: -0.2705
Epoch 344, Loss G: -3.4008,Loss D: -0.6770
Epoch 345, Loss G: -3.1560,Loss D: -0.0779
Epoch 346, Loss G: -2.9169,Loss D: -0.5652
Epoch 347, Loss G: -2.9393,Loss D: -0.1194
