Epoch 193, Loss G: -2.8913,Loss D:  0.1698
Epoch 194, Loss G: -3.0189,Loss D:  0.6262
Epoch 195, Loss G: -3.2588,Loss D:  0.5516
Epoch 196, Loss G: -3.4734,Loss D:  0.4031
Epoch 197, Loss G: -3.4056,Loss D:  0.7393
Epoch 198, Loss G: -3.5970,Loss D:  0.9283
Epoch 199, Loss G: -3.7788,Loss D:  0.8863
Epoch 200, Loss G: -3.7689,Loss D:  0.5163
Epoch 201, Loss G: -3.9358,Loss D:  0.4218
Epoch 202, Loss G: -3.6106,Loss D:  0.5068
Epoch 203, Loss G: -3.7453,Loss D:  0.6629
Epoch 204, Loss G: -3.0873,Loss D:  0.0151
Epoch 205, Loss G: -3.1998,Loss D: -0.1219
Epoch 206, Loss G: -3.0606,Loss D: -0.4299
Epoch 207, Loss G: -3.0106,Loss D: -0.6404
Epoch 208, Loss G: -2.6629,Loss D: -0.6224
Epoch 209, Loss G: -2.4898,Loss D: -0.9616
Epoch 210, Loss G: -2.5242,Loss D: -0.7512
Epoch 211, Loss G: -2.4825,Loss D: -0.9323
Epoch 212, Loss G: -2.7856,Loss D: -0.5000
Epoch 213, Loss G: -2.8310,Loss D: -0.2383
Epoch 214, Loss G: -3.2091,Loss D:  0.1050
Epoch 215, Loss G: -3.0863,Loss D: -0.0178
Epoch 216, Loss G: -3.3828,Loss D:  0.2801
Epoch 217, Loss G: -3.6791,Loss D:  0.4251
Epoch 218, Loss G: -3.7809,Loss D:  0.4377
Epoch 219, Loss G: -3.5786,Loss D:  0.4708
Epoch 220, Loss G: -3.6575,Loss D:  0.3235
Epoch 221, Loss G: -3.7485,Loss D:  0.1573
Epoch 222, Loss G: -3.6375,Loss D:  0.4341
Epoch 223, Loss G: -3.6996,Loss D:  0.1196
Epoch 224, Loss G: -3.3682,Loss D:  0.2395
Epoch 225, Loss G: -3.1789,Loss D: -0.1246
Epoch 226, Loss G: -3.1812,Loss D: -0.3439
Epoch 227, Loss G: -2.8015,Loss D: -0.3965
Epoch 228, Loss G: -2.3776,Loss D: -0.4373
Epoch 229, Loss G: -2.3060,Loss D: -0.8634
Epoch 230, Loss G: -2.2834,Loss D: -0.8733
Epoch 231, Loss G: -1.9440,Loss D: -0.7018
Epoch 232, Loss G: -1.6931,Loss D: -0.8103
Epoch 233, Loss G: -1.8999,Loss D: -0.7088
Epoch 234, Loss G: -2.2050,Loss D: -0.2122
Epoch 235, Loss G: -2.0152,Loss D: -0.4850
Epoch 236, Loss G: -2.4565,Loss D: -0.3378
Epoch 237, Loss G: -2.7474,Loss D: -0.1607
Epoch 238, Loss G: -2.8362,Loss D:  0.0327
Epoch 239, Loss G: -3.0998,Loss D:  0.3420
Epoch 240, Loss G: -3.4245,Loss D:  0.2579
Epoch 241, Loss G: -3.5312,Loss D:  0.3781
Epoch 242, Loss G: -3.6146,Loss D:  0.6106
Epoch 243, Loss G: -3.5307,Loss D:  0.3691
Epoch 244, Loss G: -3.4833,Loss D:  0.0697
Epoch 245, Loss G: -3.6058,Loss D: -0.0144
Epoch 246, Loss G: -3.3877,Loss D: -0.2981
Epoch 247, Loss G: -3.6189,Loss D: -0.1008
Epoch 248, Loss G: -3.2452,Loss D: -0.3529
Epoch 249, Loss G: -2.9514,Loss D: -0.5644
Epoch 250, Loss G: -2.9760,Loss D: -0.1873
Epoch 251, Loss G: -3.0552,Loss D: -0.3183
Epoch 252, Loss G: -3.2213,Loss D: -0.7763
Epoch 253, Loss G: -3.6321,Loss D: -0.0767
Epoch 254, Loss G: -3.7495,Loss D: -0.0971
Epoch 255, Loss G: -3.9467,Loss D:  0.6540
Epoch 256, Loss G: -3.9929,Loss D:  0.4746
Epoch 257, Loss G: -4.0491,Loss D:  0.1232
Epoch 258, Loss G: -4.2028,Loss D:  0.3034
Epoch 259, Loss G: -4.0253,Loss D:  0.5047
Epoch 260, Loss G: -4.0822,Loss D: -0.0690
Epoch 261, Loss G: -3.8289,Loss D: -0.3656
Epoch 262, Loss G: -4.1034,Loss D:  0.0646
Epoch 263, Loss G: -3.9493,Loss D: -0.4229
Epoch 264, Loss G: -3.6613,Loss D:  0.0623
Epoch 265, Loss G: -3.8528,Loss D:  0.2720
Epoch 266, Loss G: -3.7461,Loss D: -0.0909
Epoch 267, Loss G: -3.8030,Loss D: -0.1430
Epoch 268, Loss G: -3.9607,Loss D:  0.1671
Epoch 269, Loss G: -3.6899,Loss D: -0.0243
